paramID,flag,periodLen,steps
854,periodic,168.0000,53760
855,periodic,168.0000,9744
856,periodic,168.0000,15120
857,periodic,168.0000,7728
858,periodic,168.0000,9072
859,periodic,168.0000,15120
860,periodic,168.0000,27888
861,periodic,168.0000,28224
862,periodic,168.0000,13776
863,periodic,168.0000,5376
864,periodic,168.0000,10752
865,periodic,168.0000,5712
866,periodic,168.0000,5040
867,periodic,168.0000,5040
868,periodic,168.0000,5040
869,periodic,168.0000,20160
870,periodic,168.0000,14448
871,periodic,168.0000,5040
872,periodic,168.0000,57456
873,periodic,168.0000,25536
874,periodic,168.0000,25872
875,periodic,168.0000,32256
876,periodic,168.0000,5712
877,periodic,168.0000,17136
878,periodic,168.0000,16128
879,periodic,168.0000,20832
880,periodic,168.0000,5040
881,periodic,168.0000,11088
882,periodic,168.0000,5040
883,periodic,168.0000,5040
884,periodic,168.0000,44016
885,periodic,168.0000,37968
886,periodic,168.0000,5040
887,periodic,168.0000,5376
888,periodic,168.0000,6720
889,periodic,168.0000,5376
890,periodic,168.0000,7056
891,periodic,168.0000,5040
892,periodic,168.0000,7728
893,periodic,168.0000,5040
894,periodic,168.0000,5040
895,periodic,168.0000,5040
896,periodic,168.0000,51744
897,periodic,168.0000,7056
898,periodic,168.0000,5376
899,periodic,168.0000,8736
900,periodic,168.0000,5712
901,periodic,168.0000,17472
902,periodic,168.0000,5040
903,periodic,168.0000,5040
904,periodic,168.0000,19152
905,periodic,168.0000,11424
906,periodic,168.0000,5040
907,periodic,168.0000,28896
908,periodic,168.0000,16128
909,periodic,168.0000,24528
910,periodic,168.0000,52416
911,periodic,168.0000,5040
912,periodic,168.0000,5040
913,periodic,168.0000,9408
914,periodic,168.0000,52080
915,periodic,168.0000,5040
916,periodic,168.0000,18480
917,periodic,168.0000,5040
918,periodic,168.0000,13440
919,periodic,168.0000,5040
920,periodic,168.0000,5376
921,periodic,168.0000,5040
922,periodic,168.0000,5040
923,periodic,168.0000,5376
924,periodic,168.0000,9072
925,periodic,168.0000,19152
926,periodic,168.0000,5040
927,periodic,168.0000,5712
928,periodic,168.0000,22176
929,periodic,168.0000,50400
930,periodic,168.0000,5376
931,periodic,168.0000,31920
932,periodic,168.0000,12768
933,periodic,168.0000,22848
934,periodic,168.0000,6048
935,periodic,168.0000,7728
936,periodic,168.0000,5040
937,periodic,168.0000,11760
938,periodic,168.0000,5040
939,periodic,168.0000,6720
940,periodic,168.0000,7392
941,periodic,168.0000,25536
942,periodic,168.0000,5040
943,periodic,168.0000,5040
944,periodic,168.0000,14112
945,periodic,168.0000,5040
946,periodic,168.0000,5040
947,periodic,168.0000,40992
948,periodic,168.0000,6720
949,periodic,168.0000,30240
950,periodic,168.0000,5040
951,periodic,168.0000,7392
952,periodic,168.0000,5040
953,periodic,168.0000,5040
954,periodic,168.0000,29568
955,periodic,168.0000,7392
956,periodic,168.0000,5040
957,periodic,168.0000,5040
958,periodic,168.0000,6384
959,periodic,168.0000,5040
960,periodic,168.0000,9072
961,periodic,168.0000,5040
962,periodic,168.0000,5712
963,periodic,168.0000,5040
964,periodic,168.0000,5040
965,periodic,168.0000,16800
966,periodic,168.0000,5040
967,periodic,168.0000,5040
968,periodic,168.0000,20496
969,periodic,168.0000,9408
970,periodic,168.0000,57120
971,periodic,168.0000,13776
972,periodic,168.0000,19824
973,periodic,168.0000,5040
974,periodic,168.0000,16800
975,periodic,168.0000,17808
976,periodic,168.0000,16128
977,periodic,168.0000,5712
978,periodic,168.0000,7392
979,periodic,168.0000,12432
980,periodic,168.0000,7056
981,periodic,168.0000,57792
982,periodic,168.0000,5040
983,periodic,168.0000,13104
984,periodic,168.0000,5040
985,periodic,168.0000,21840
986,periodic,168.0000,53424
987,periodic,168.0000,7056
988,periodic,168.0000,11760
989,periodic,168.0000,5040
990,periodic,168.0000,5040
991,periodic,168.0000,17136
992,periodic,168.0000,21168
993,periodic,168.0000,5376
994,periodic,168.0000,14112
