paramID,flag,steps
556,periodic-1T,84672
557,periodic-1T,10080
558,periodic-1T,10416
559,periodic-1T,10752
560,periodic-1T,17136
561,periodic-1T,10416
562,periodic-1T,10080
563,periodic-1T,10416
564,periodic-1T,92064
565,periodic-1T,40656
566,periodic-1T,10416
567,periodic-1T,10080
568,periodic-1T,10080
569,periodic-1T,10752
570,periodic-1T,10080
571,periodic-1T,593376
572,periodic-1T,144816
573,periodic-1T,10080
574,periodic-1T,10416
575,periodic-1T,58464
576,periodic-1T,50064
577,periodic-1T,24864
578,periodic-1T,28560
579,periodic-1T,69552
580,periodic-1T,23856
581,periodic-1T,11424
582,periodic-1T,10416
583,periodic-1T,270480
584,periodic-1T,19488
585,periodic-1T,31584
586,periodic-1T,64176
587,periodic-1T,21840
588,periodic-1T,10416
589,periodic-1T,10080
590,periodic-1T,83328
591,periodic-1T,10416
592,periodic-1T,10416
593,periodic-1T,10416
594,periodic-1T,13776
595,periodic-1T,10416
596,periodic-1T,10752
597,periodic-1T,12096
598,periodic-1T,10416
599,periodic-1T,10416
600,periodic-1T,10416
601,periodic-1T,10752
602,periodic-1T,10416
603,periodic-1T,30576
604,periodic-1T,37296
605,periodic-1T,10416
606,periodic-1T,10416
607,periodic-1T,10080
608,periodic-1T,10416
609,periodic-1T,10752
610,periodic-1T,10080
611,periodic-1T,10080
612,periodic-1T,10416
613,periodic-1T,37296
614,periodic-1T,10416
615,periodic-1T,10416
616,periodic-1T,10080
617,periodic-1T,10416
618,periodic-1T,10416
619,periodic-1T,10080
620,periodic-1T,10080
621,periodic-1T,21504
622,periodic-1T,50736
623,periodic-1T,10416
624,periodic-1T,31920
625,periodic-1T,11088
626,periodic-1T,10080
627,periodic-1T,10416
628,periodic-1T,10416
629,periodic-1T,10416
630,periodic-1T,10416
631,periodic-1T,17136
632,periodic-1T,27216
633,periodic-1T,44016
634,periodic-1T,20496
635,periodic-1T,93408
636,periodic-1T,50736
637,periodic-1T,43680
638,periodic-1T,10080
639,periodic-1T,48384
640,periodic-1T,10416
641,periodic-1T,10080
642,periodic-1T,10416
643,periodic-1T,17136
644,periodic-1T,70896
645,periodic-1T,12432
646,periodic-1T,127680
647,unsettled,1000000
648,periodic-1T,57456
649,periodic-1T,124656
650,periodic-1T,10416
651,periodic-1T,11760
652,periodic-1T,10080
653,periodic-1T,10080
654,periodic-1T,10416
655,periodic-1T,10416
656,periodic-1T,10416
657,periodic-1T,46368
658,periodic-1T,10080
659,periodic-1T,23856
660,periodic-1T,10416
661,periodic-1T,17808
662,periodic-1T,10416
663,periodic-1T,10080
664,periodic-1T,14112
665,periodic-1T,30576
666,periodic-1T,10080
667,periodic-1T,10416
668,periodic-1T,10416
669,periodic-1T,10752
670,periodic-1T,10416
671,periodic-1T,20160
672,periodic-1T,17136
673,periodic-1T,21168
674,periodic-1T,10416
675,periodic-1T,255024
676,periodic-1T,20496
677,periodic-1T,10416
678,periodic-1T,10752
679,periodic-1T,10080
680,periodic-1T,10416
681,periodic-1T,17136
682,periodic-1T,10416
683,periodic-1T,10416
684,periodic-1T,10416
685,periodic-1T,40656
686,periodic-1T,10080
687,periodic-1T,30576
688,periodic-1T,53760
689,periodic-1T,130368
690,periodic-1T,27552
691,periodic-1T,21840
692,periodic-1T,10416
693,periodic-1T,10080
694,periodic-1T,10416
695,periodic-1T,52080
696,periodic-1T,10416
697,periodic-1T,44352
698,periodic-1T,12096
699,periodic-1T,74592
700,periodic-1T,22512
701,periodic-1T,30576
702,periodic-1T,17136
703,periodic-1T,126336
704,periodic-1T,10416
705,periodic-1T,27552
706,periodic-1T,20496
707,periodic-1T,23856
708,periodic-1T,10416
709,periodic-1T,10080
710,periodic-1T,10416
711,periodic-1T,17472
712,periodic-1T,14112
713,periodic-1T,10080
714,periodic-1T,10416
715,periodic-1T,57792
716,periodic-1T,10416
717,periodic-1T,10416
718,periodic-1T,10416
719,periodic-1T,205632
720,periodic-1T,97776
721,periodic-1T,15120
722,periodic-1T,10080
723,periodic-1T,190848
724,periodic-1T,44352
725,periodic-1T,14784
726,periodic-1T,23856
727,periodic-1T,10416
728,periodic-1T,10416
729,periodic-1T,13776
730,periodic-1T,10080
731,periodic-1T,11424
732,periodic-1T,23520
733,periodic-1T,10080
734,periodic-1T,10416
735,periodic-1T,27216
736,periodic-1T,10416
737,periodic-1T,31584
738,periodic-1T,10080
739,periodic-1T,10752
740,periodic-1T,13776
741,periodic-1T,10416
742,periodic-1T,13776
743,periodic-1T,10416
744,periodic-1T,17136
745,periodic-1T,10080
746,periodic-1T,10080
747,periodic-1T,10080
748,periodic-1T,10416
749,periodic-1T,44016
750,periodic-1T,10416
751,periodic-1T,21840
752,periodic-1T,10416
753,periodic-1T,93408
754,periodic-1T,18144
755,periodic-1T,77616
756,periodic-1T,10080
757,periodic-1T,10416
758,periodic-1T,10080
759,periodic-1T,212016
760,periodic-1T,10416
761,periodic-1T,10416
762,periodic-1T,10416
763,periodic-1T,17136
764,periodic-1T,10416
765,periodic-1T,54432
766,periodic-1T,31920
767,periodic-1T,10416
768,unsettled,1000000
769,periodic-1T,10080
770,periodic-1T,10416
771,periodic-1T,10752
772,periodic-1T,107856
773,periodic-1T,10416
774,periodic-1T,12768
775,periodic-1T,11424
776,periodic-1T,50736
777,periodic-1T,10416
778,periodic-1T,42000
779,periodic-1T,10080
780,periodic-1T,10416
781,periodic-1T,68544
782,periodic-1T,13776
783,periodic-1T,13440
784,periodic-1T,10080
785,periodic-1T,56448
786,periodic-1T,33936
787,periodic-1T,10416
788,periodic-1T,10416
789,periodic-1T,69888
790,periodic-1T,10416
791,periodic-1T,14112
792,periodic-1T,10416
793,periodic-1T,10416
794,periodic-1T,11760
795,periodic-1T,10080
796,periodic-1T,10080
797,periodic-1T,17136
798,periodic-1T,10416
799,periodic-1T,10080
800,periodic-1T,53760
801,periodic-1T,10080
802,periodic-1T,10080
803,periodic-1T,14112
804,periodic-1T,10416
